issn_l,sourcerecord_id,source_title_medline_sourced_journals_are_indicated_in_green,ajcs,top_level_code,subject_area,top_level
1082-0132,23189,Food Science and Technology International,1500,15,Chemical Engineering,Physical Sciences
1082-0132,23189,Food Science and Technology International,1106,11,Agricultural and Biological Sciences,Life Sciences
1084-8223,3300147411,Home Health Care Management and Practice,2739,27,Medicine,Health Sciences
1084-8223,3300147411,Home Health Care Management and Practice,2905,29,Nursing,Health Sciences
1084-8223,3300147411,Home Health Care Management and Practice,2911,29,Nursing,Health Sciences
1086-0266,29861,Organization and Environment,1407,14,"Business, Management and Accounting",Social Sciences
1086-0266,29861,Organization and Environment,2300,23,Environmental Science,Physical Sciences
1086-296X,4700151738,Journal of Literacy Research,3310,33,Social Sciences,Social Sciences
1086-296X,4700151738,Journal of Literacy Research,1203,12,Arts and Humanities,Social Sciences
1086-296X,4700151738,Journal of Literacy Research,3304,33,Social Sciences,Social Sciences
1087-0547,16248,Journal of Attention Disorders,3203,32,Psychology,Social Sciences
1087-0547,16248,Journal of Attention Disorders,3204,32,Psychology,Social Sciences
1087-724X,5800169158,Public Works Management and Policy,3321,33,Social Sciences,Social Sciences
1087-724X,5800169158,Public Works Management and Policy,3312,33,Social Sciences,Social Sciences
1087-724X,5800169158,Public Works Management and Policy,1401,14,"Business, Management and Accounting",Social Sciences
1088-3576,5700155920,Focus on Autism and Other Developmental Disabilities,2738,27,Medicine,Health Sciences
1088-3576,5700155920,Focus on Autism and Other Developmental Disabilities,2805,28,Neuroscience,Life Sciences
1088-3576,5700155920,Focus on Autism and Other Developmental Disabilities,2728,27,Medicine,Health Sciences
1088-3576,5700155920,Focus on Autism and Other Developmental Disabilities,2808,28,Neuroscience,Life Sciences
1088-3576,5700155920,Focus on Autism and Other Developmental Disabilities,2735,27,Medicine,Health Sciences
1088-7679,144977,Homicide Studies,3308,33,Social Sciences,Social Sciences
1088-7679,144977,Homicide Studies,3201,32,Psychology,Social Sciences
1088-7679,144977,Homicide Studies,2734,27,Medicine,Health Sciences
1089-2532,52092,Seminars in Cardiothoracic and Vascular Anesthesia,2703,27,Medicine,Health Sciences
1089-2532,52092,Seminars in Cardiothoracic and Vascular Anesthesia,2705,27,Medicine,Health Sciences
1089-2680,14698,Review of General Psychology,3200,32,Psychology,Social Sciences
1090-1981,20877,Health Education and Behavior,2739,27,Medicine,Health Sciences
1090-1981,20877,Health Education and Behavior,1201,12,Arts and Humanities,Social Sciences
1091-1421,29258,Public Finance Review,3321,33,Social Sciences,Social Sciences
1091-1421,29258,Public Finance Review,2002,20,"Economics, Econometrics and Finance",Social Sciences
1091-1421,29258,Public Finance Review,2003,20,"Economics, Econometrics and Finance",Social Sciences
1091-5818,25111,International Journal of Toxicology,3005,30,"Pharmacology, Toxicology and Pharmaceutics",Life Sciences
1093-5266,15704,Pediatric and Developmental Pathology,2700,27,Medicine,Health Sciences
1093-5266,15704,Pediatric and Developmental Pathology,2734,27,Medicine,Health Sciences
1093-5266,15704,Pediatric and Developmental Pathology,2735,27,Medicine,Health Sciences
1094-3420,19268,International Journal of High Performance Computing Applications,1708,17,Computer Science,Physical Sciences
1094-3420,19268,International Journal of High Performance Computing Applications,2614,26,Mathematics,Physical Sciences
1094-3420,19268,International Journal of High Performance Computing Applications,1712,17,Computer Science,Physical Sciences
1094-4281,22330,Organizational Research Methods,1405,14,"Business, Management and Accounting",Social Sciences
1094-4281,22330,Organizational Research Methods,1408,14,"Business, Management and Accounting",Social Sciences
1094-4281,22330,Organizational Research Methods,1800,18,Decision Sciences,Social Sciences
1094-6705,144974,Journal of Service Research,1407,14,"Business, Management and Accounting",Social Sciences
1094-6705,144974,Journal of Service Research,3312,33,Social Sciences,Social Sciences
1094-6705,144974,Journal of Service Research,1710,17,Computer Science,Physical Sciences
1095-7960,21100894549,New Labor Forum,2001,20,"Economics, Econometrics and Finance",Social Sciences
1095-7960,21100894549,New Labor Forum,3322,33,Social Sciences,Social Sciences
1095-7960,21100894549,New Labor Forum,3301,33,Social Sciences,Social Sciences
1095-7960,21100894549,New Labor Forum,1410,14,"Business, Management and Accounting",Social Sciences
1096-2506,17900156731,Young Exceptional Children,3204,32,Psychology,Social Sciences
1096-2506,17900156731,Young Exceptional Children,3304,33,Social Sciences,Social Sciences
1096-3480,16800154721,Journal of Hospitality and Tourism Research,1409,14,"Business, Management and Accounting",Social Sciences
1096-3480,16800154721,Journal of Hospitality and Tourism Research,3304,33,Social Sciences,Social Sciences
1096-3669,26492,Waste Management and Research,2310,23,Environmental Science,Physical Sciences
1096-3669,26492,Waste Management and Research,2305,23,Environmental Science,Physical Sciences
1097-184X,144973,Men and Masculinities,1208,12,Arts and Humanities,Social Sciences
1097-184X,144973,Men and Masculinities,3312,33,Social Sciences,Social Sciences
1097-184X,144973,Men and Masculinities,1202,12,Arts and Humanities,Social Sciences
1097-184X,144973,Men and Masculinities,3318,33,Social Sciences,Social Sciences
1098-0482,21100894552,Journal of Advertising Education,1406,14,"Business, Management and Accounting",Social Sciences
1098-0482,21100894552,Journal of Advertising Education,3315,33,Social Sciences,Social Sciences
1098-0482,21100894552,Journal of Advertising Education,3304,33,Social Sciences,Social Sciences
1098-2140,24734,American Journal of Evaluation,1408,14,"Business, Management and Accounting",Social Sciences
1098-2140,24734,American Journal of Evaluation,3312,33,Social Sciences,Social Sciences
1098-2140,24734,American Journal of Evaluation,3304,33,Social Sciences,Social Sciences
1098-2140,24734,American Journal of Evaluation,3306,33,Social Sciences,Social Sciences
1098-2140,24734,American Journal of Evaluation,3207,32,Psychology,Social Sciences
1098-2140,24734,American Journal of Evaluation,1403,14,"Business, Management and Accounting",Social Sciences
1098-3007,30047,Journal of Positive Behavior Interventions,3202,32,Psychology,Social Sciences
1098-3007,30047,Journal of Positive Behavior Interventions,3204,32,Psychology,Social Sciences
1098-3007,30047,Journal of Positive Behavior Interventions,2735,27,Medicine,Health Sciences
1098-6111,11600154701,Police Quarterly,3308,33,Social Sciences,Social Sciences
1098-6111,11600154701,Police Quarterly,3301,33,Social Sciences,Social Sciences
1098-612X,18297,Journal of Feline Medicine and Surgery,3404,34,Veterinary,Health Sciences
1099-6362,21187,Journal of Sandwich Structures and Materials,2210,22,Engineering,Physical Sciences
1099-6362,21187,Journal of Sandwich Structures and Materials,2211,22,Engineering,Physical Sciences
1099-6362,21187,Journal of Sandwich Structures and Materials,2503,25,Materials Science,Physical Sciences
1099-8004,27169,Biological Research for Nursing,2922,29,Nursing,Health Sciences
1103-3088,5700164241,Young,3312,33,Social Sciences,Social Sciences
1103-3088,5700164241,Young,3204,32,Psychology,Social Sciences
1103-3088,5700164241,Young,3306,33,Social Sciences,Social Sciences
1120-6721,13864,European Journal of Ophthalmology,2731,27,Medicine,Health Sciences
1120-6721,13864,European Journal of Ophthalmology,2700,27,Medicine,Health Sciences
1120-7000,13922,HIP International,2732,27,Medicine,Health Sciences
1120-7000,13922,HIP International,2746,27,Medicine,Health Sciences
1129-7298,23900,Journal of Vascular Access,2727,27,Medicine,Health Sciences
1129-7298,23900,Journal of Vascular Access,2746,27,Medicine,Health Sciences
1177-1801,21100795655,AlterNative,1202,12,Arts and Humanities,Social Sciences
1177-1801,21100795655,AlterNative,3314,33,Social Sciences,Social Sciences
1177-1801,21100795655,AlterNative,3316,33,Social Sciences,Social Sciences
1203-4754,24856,Journal of Cutaneous Medicine and Surgery,2708,27,Medicine,Health Sciences
1203-4754,24856,Journal of Cutaneous Medicine and Surgery,2746,27,Medicine,Health Sciences
1206-3312,5600155048,Space and Culture,1409,14,"Business, Management and Accounting",Social Sciences
1206-3312,5600155048,Space and Culture,3322,33,Social Sciences,Social Sciences
1206-3312,5600155048,Space and Culture,1201,12,Arts and Humanities,Social Sciences
1206-3312,5600155048,Space and Culture,3305,33,Social Sciences,Social Sciences
1206-3312,5600155048,Space and Culture,3316,33,Social Sciences,Social Sciences
1321-103X,16300154723,Research Studies in Music Education,1210,12,Arts and Humanities,Social Sciences
1321-103X,16300154723,Research Studies in Music Education,3304,33,Social Sciences,Social Sciences
1326-365X,21100827444,Asia Pacific Media Educator,3304,33,Social Sciences,Social Sciences
1326-365X,21100827444,Asia Pacific Media Educator,3315,33,Social Sciences,Social Sciences
1329-878X,20000195001,Media International Australia,3315,33,Social Sciences,Social Sciences
1329-878X,20000195001,Media International Australia,3316,33,Social Sciences,Social Sciences
1350-5068,23134,European Journal of Women's Studies,1201,12,Arts and Humanities,Social Sciences
1350-5068,23134,European Journal of Women's Studies,3318,33,Social Sciences,Social Sciences
1350-5076,21283,Management Learning,1405,14,"Business, Management and Accounting",Social Sciences
1350-5076,21283,Management Learning,1408,14,"Business, Management and Accounting",Social Sciences
1350-5076,21283,Management Learning,1800,18,Decision Sciences,Social Sciences
1350-5084,22322,Organization,1405,14,"Business, Management and Accounting",Social Sciences
1350-5084,22322,Organization,1408,14,"Business, Management and Accounting",Social Sciences
1350-5084,22322,Organization,1400,14,"Business, Management and Accounting",Social Sciences
1351-010X,19900193250,Building Acoustics,2210,22,Engineering,Physical Sciences
1351-010X,19900193250,Building Acoustics,3102,31,Physics and Astronomy,Physical Sciences
1351-010X,19900193250,Building Acoustics,2215,22,Engineering,Physical Sciences
1352-4585,17408,Multiple Sclerosis,2728,27,Medicine,Health Sciences
1352-4585,17408,Multiple Sclerosis,2808,28,Neuroscience,Life Sciences
1354-0661,24592,European Journal of International Relations,3320,33,Social Sciences,Social Sciences
1354-0661,24592,European Journal of International Relations,3312,33,Social Sciences,Social Sciences
1354-067X,13475,Culture and Psychology,3312,33,Social Sciences,Social Sciences
1354-067X,13475,Culture and Psychology,3314,33,Social Sciences,Social Sciences
1354-067X,13475,Culture and Psychology,3316,33,Social Sciences,Social Sciences
1354-067X,13475,Culture and Psychology,3207,32,Psychology,Social Sciences
1354-0688,67863,Party Politics,3312,33,Social Sciences,Social Sciences
1354-8166,16543,Tourism Economics,1409,14,"Business, Management and Accounting",Social Sciences
1354-8166,16543,Tourism Economics,3305,33,Social Sciences,Social Sciences
1354-8565,5700153276,Convergence,1201,12,Arts and Humanities,Social Sciences
1354-8565,5700153276,Convergence,3315,33,Social Sciences,Social Sciences
1356-336X,5800228211,European Physical Education Review,2732,27,Medicine,Health Sciences
1356-336X,5800228211,European Physical Education Review,3612,36,Health Professions,Health Sciences
1356-336X,5800228211,European Physical Education Review,3304,33,Social Sciences,Social Sciences
1356-3890,70397,Evaluation,3312,33,Social Sciences,Social Sciences
1356-3890,70397,Evaluation,3303,33,Social Sciences,Social Sciences
1356-7667,16800154724,Journal of Vacation Marketing,1409,14,"Business, Management and Accounting",Social Sciences
1357-034X,5600152890,Body and Society,3316,33,Social Sciences,Social Sciences
1357-034X,5600152890,Body and Society,3306,33,Social Sciences,Social Sciences
1357-034X,5600152890,Body and Society,3207,32,Psychology,Social Sciences
1358-2291,145329,International Journal of Discrimination and the Law,3308,33,Social Sciences,Social Sciences
1358-2291,145329,International Journal of Discrimination and the Law,3312,33,Social Sciences,Social Sciences
1358-863X,20674,Vascular Medicine,2705,27,Medicine,Health Sciences
1359-1045,24514,Clinical Child Psychology and Psychiatry,2738,27,Medicine,Health Sciences
1359-1045,24514,Clinical Child Psychology and Psychiatry,3203,32,Psychology,Social Sciences
1359-1045,24514,Clinical Child Psychology and Psychiatry,2700,27,Medicine,Health Sciences
1359-1045,24514,Clinical Child Psychology and Psychiatry,2735,27,Medicine,Health Sciences
1359-1053,15536,Journal of Health Psychology,3202,32,Psychology,Social Sciences
1359-1835,15651,Journal of Material Culture,1201,12,Arts and Humanities,Social Sciences
1359-1835,15651,Journal of Material Culture,3302,33,Social Sciences,Social Sciences
1359-1835,15651,Journal of Material Culture,3314,33,Social Sciences,Social Sciences
1360-7804,145212,Sociological Research Online,3312,33,Social Sciences,Social Sciences
1362-1688,23167,Language Teaching Research,3310,33,Social Sciences,Social Sciences
1362-1688,23167,Language Teaching Research,3304,33,Social Sciences,Social Sciences
1362-1688,23167,Language Teaching Research,1203,12,Arts and Humanities,Social Sciences
1362-3613,14254,Autism,3204,32,Psychology,Social Sciences
1362-4806,22087,Theoretical Criminology,3308,33,Social Sciences,Social Sciences
1362-4806,22087,Theoretical Criminology,3312,33,Social Sciences,Social Sciences
1362-4806,22087,Theoretical Criminology,2734,27,Medicine,Health Sciences
1363-4593,20830,Health,3306,33,Social Sciences,Social Sciences
1363-4607,145733,Sexualities,3314,33,Social Sciences,Social Sciences
1363-4607,145733,Sexualities,3318,33,Social Sciences,Social Sciences
1363-4615,19928,Transcultural Psychiatry,2738,27,Medicine,Health Sciences
1363-4615,19928,Transcultural Psychiatry,3306,33,Social Sciences,Social Sciences
1365-4802,6400153173,Improving Schools,3304,33,Social Sciences,Social Sciences
1365-7127,21100886226,International Journal of Evidence and Proof,3308,33,Social Sciences,Social Sciences
1365-7127,21100886226,International Journal of Evidence and Proof,2308,23,Environmental Science,Physical Sciences
1365-7127,21100886226,International Journal of Evidence and Proof,3312,33,Social Sciences,Social Sciences
1367-0069,5700178973,International Journal of Bilingualism,3310,33,Social Sciences,Social Sciences
1367-0069,5700178973,International Journal of Bilingualism,1203,12,Arts and Humanities,Social Sciences
1367-0069,5700178973,International Journal of Bilingualism,3304,33,Social Sciences,Social Sciences
1367-4935,15097,Journal of Child Health Care,2919,29,Nursing,Health Sciences
1367-4935,15097,Journal of Child Health Care,2735,27,Medicine,Health Sciences
1367-5494,300147008,European Journal of Cultural Studies,1201,12,Arts and Humanities,Social Sciences
1367-5494,300147008,European Journal of Cultural Studies,3304,33,Social Sciences,Social Sciences
1367-5494,300147008,European Journal of Cultural Studies,3316,33,Social Sciences,Social Sciences
1367-8779,147232,International Journal of Cultural Studies,3316,33,Social Sciences,Social Sciences
1368-4302,14946,Group Processes and Intergroup Relations,3312,33,Social Sciences,Social Sciences
1368-4302,14946,Group Processes and Intergroup Relations,1201,12,Arts and Humanities,Social Sciences
1368-4302,14946,Group Processes and Intergroup Relations,3315,33,Social Sciences,Social Sciences
1368-4302,14946,Group Processes and Intergroup Relations,3316,33,Social Sciences,Social Sciences
1368-4302,14946,Group Processes and Intergroup Relations,3207,32,Psychology,Social Sciences
1368-4310,300147001,European Journal of Social Theory,3312,33,Social Sciences,Social Sciences
1369-1481,130158,British Journal of Politics and International Relations,2308,23,Environmental Science,Physical Sciences
1369-1481,130158,British Journal of Politics and International Relations,3320,33,Social Sciences,Social Sciences
1369-4332,14469,Advances in Structural Engineering,2215,22,Engineering,Physical Sciences
1369-4332,14469,Advances in Structural Engineering,2205,22,Engineering,Physical Sciences
1388-2627,21100924769,European Journal of Social Security,2001,20,"Economics, Econometrics and Finance",Social Sciences
1388-2627,21100924769,European Journal of Social Security,3321,33,Social Sciences,Social Sciences
1388-2627,21100924769,European Journal of Social Security,3312,33,Social Sciences,Social Sciences
1391-5614,12100156731,South Asia Economic Journal,2000,20,"Economics, Econometrics and Finance",Social Sciences
1403-4948,18842,Scandinavian Journal of Public Health,2739,27,Medicine,Health Sciences
1403-4948,18842,Scandinavian Journal of Public Health,2700,27,Medicine,Health Sciences
1420-326X,20832,Indoor and Built Environment,2739,27,Medicine,Health Sciences
1420-326X,20832,Indoor and Built Environment,2215,22,Engineering,Physical Sciences
1440-7833,101305,Journal of Sociology,3312,33,Social Sciences,Social Sciences
1441-3582,17700155010,Australasian Marketing Journal,1406,14,"Business, Management and Accounting",Social Sciences
1441-3582,17700155010,Australasian Marketing Journal,2002,20,"Economics, Econometrics and Finance",Social Sciences
1457-4969,22270,Scandinavian Journal of Surgery,2746,27,Medicine,Health Sciences
1460-4086,59726,Trauma,2706,27,Medicine,Health Sciences
1460-4086,59726,Trauma,2711,27,Medicine,Health Sciences
1460-4086,59726,Trauma,2746,27,Medicine,Health Sciences
1461-3557,21101042195,International Journal of Police Science and Management,3308,33,Social Sciences,Social Sciences
1461-4448,16306,New Media and Society,3312,33,Social Sciences,Social Sciences
1461-4448,16306,New Media and Society,3315,33,Social Sciences,Social Sciences
1461-4456,147229,Discourse Studies,3310,33,Social Sciences,Social Sciences
1461-4456,147229,Discourse Studies,3314,33,Social Sciences,Social Sciences
1461-4456,147229,Discourse Studies,1203,12,Arts and Humanities,Social Sciences
1461-4456,147229,Discourse Studies,3315,33,Social Sciences,Social Sciences
1461-4456,147229,Discourse Studies,3207,32,Psychology,Social Sciences
1461-4529,21100898979,Environmental Law Review,3308,33,Social Sciences,Social Sciences
1461-4529,21100898979,Environmental Law Review,2308,23,Environmental Science,Physical Sciences
1461-4529,21100898979,Environmental Law Review,3305,33,Social Sciences,Social Sciences
1462-4745,147233,Punishment and Society,3308,33,Social Sciences,Social Sciences
1462-4745,147233,Punishment and Society,3301,33,Social Sciences,Social Sciences
1463-4996,5700161756,Anthropological Theory,1201,12,Arts and Humanities,Social Sciences
1463-4996,5700161756,Anthropological Theory,3314,33,Social Sciences,Social Sciences
1463-9491,11400153314,Contemporary Issues in Early Childhood,3204,32,Psychology,Social Sciences
1463-9491,11400153314,Contemporary Issues in Early Childhood,3304,33,Social Sciences,Social Sciences
1464-7001,700147308,Feminist Theory,3318,33,Social Sciences,Social Sciences
1464-8849,5700176815,Journalism,1201,12,Arts and Humanities,Social Sciences
1464-8849,5700176815,Journalism,3315,33,Social Sciences,Social Sciences
1464-9934,5000160207,Progress in Development Studies,3303,33,Social Sciences,Social Sciences
1465-1165,1000147124,European Union Politics,3320,33,Social Sciences,Social Sciences
1465-1165,1000147124,European Union Politics,3317,33,Social Sciences,Social Sciences
1465-1165,1000147124,European Union Politics,3306,33,Social Sciences,Social Sciences
1465-3125,26170,Journal of Orthodontics,3505,35,Dentistry,Health Sciences
1465-7503,21100286465,International Journal of Entrepreneurship and Innovation,1405,14,"Business, Management and Accounting",Social Sciences
1465-7503,21100286465,International Journal of Entrepreneurship and Innovation,1403,14,"Business, Management and Accounting",Social Sciences
1466-1381,5600155023,Ethnography,1201,12,Arts and Humanities,Social Sciences
1466-1381,5600155023,Ethnography,3314,33,Social Sciences,Social Sciences
1466-1381,5600155023,Ethnography,3316,33,Social Sciences,Social Sciences
1467-3584,17700156755,Tourism and Hospitality Research,1409,14,"Business, Management and Accounting",Social Sciences
1467-3584,17700156755,Tourism and Hospitality Research,3305,33,Social Sciences,Social Sciences
1468-0173,5700162931,Journal of Social Work,3301,33,Social Sciences,Social Sciences
1468-0173,5700162931,Journal of Social Work,3306,33,Social Sciences,Social Sciences
1468-0181,30006,Global Social Policy,2308,23,Environmental Science,Physical Sciences
1468-0181,30006,Global Social Policy,3312,33,Social Sciences,Social Sciences
1468-0181,30006,Global Social Policy,3305,33,Social Sciences,Social Sciences
1468-7941,100147024,Qualitative Research,1207,12,Arts and Humanities,Social Sciences
1468-7941,100147024,Qualitative Research,3301,33,Social Sciences,Social Sciences
1468-795X,100147325,Journal of Classical Sociology,3312,33,Social Sciences,Social Sciences
1468-7968,4700152406,Ethnicities,1201,12,Arts and Humanities,Social Sciences
1468-7968,4700152406,Ethnicities,3316,33,Social Sciences,Social Sciences
1468-7976,145732,Tourist Studies,1409,14,"Business, Management and Accounting",Social Sciences
1468-7984,5800207538,Journal of Early Childhood Literacy,3304,33,Social Sciences,Social Sciences
1469-0667,23993,European Journal of Mass Spectrometry,1607,16,Chemistry,Physical Sciences
1469-0667,23993,European Journal of Mass Spectrometry,3107,31,Physics and Astronomy,Physical Sciences
1469-0667,23993,European Journal of Mass Spectrometry,2700,27,Medicine,Health Sciences
1469-5405,5700161512,Journal of Consumer Culture,1406,14,"Business, Management and Accounting",Social Sciences
1469-5405,5700161512,Journal of Consumer Culture,2002,20,"Economics, Econometrics and Finance",Social Sciences
1469-5405,5700161512,Journal of Consumer Culture,3312,33,Social Sciences,Social Sciences
1469-5405,5700161512,Journal of Consumer Culture,1201,12,Arts and Humanities,Social Sciences
1469-5405,5700161512,Journal of Consumer Culture,3207,32,Psychology,Social Sciences
1469-5405,5700161512,Journal of Consumer Culture,1403,14,"Business, Management and Accounting",Social Sciences
1469-6053,147221,Journal of Social Archaeology,1201,12,Arts and Humanities,Social Sciences
1469-6053,147221,Journal of Social Archaeology,3302,33,Social Sciences,Social Sciences
1469-7874,5700168406,Active Learning in Higher Education,3304,33,Social Sciences,Social Sciences
1470-3572,5700161790,Visual Communication,1213,12,Arts and Humanities,Social Sciences
1470-3572,5700161790,Visual Communication,3315,33,Social Sciences,Social Sciences
1470-4129,6000152799,Journal of Visual Culture,1213,12,Arts and Humanities,Social Sciences
1470-4129,6000152799,Journal of Visual Culture,3315,33,Social Sciences,Social Sciences
1470-5931,16800154723,Marketing Theory,1406,14,"Business, Management and Accounting",Social Sciences
1470-594X,5700163963,"Politics, Philosophy and Economics",2002,20,"Economics, Econometrics and Finance",Social Sciences
1470-594X,5700163963,"Politics, Philosophy and Economics",3312,33,Social Sciences,Social Sciences
1470-594X,5700163963,"Politics, Philosophy and Economics",1211,12,Arts and Humanities,Social Sciences
1470-5958,16300154746,International Journal of Cross Cultural Management,1407,14,"Business, Management and Accounting",Social Sciences
1470-5958,16300154746,International Journal of Cross Cultural Management,1201,12,Arts and Humanities,Social Sciences
1470-5958,16300154746,International Journal of Cross Cultural Management,3316,33,Social Sciences,Social Sciences
1470-5958,16300154746,International Journal of Cross Cultural Management,1403,14,"Business, Management and Accounting",Social Sciences
1470-7853,22819,International Journal of Market Research,1406,14,"Business, Management and Accounting",Social Sciences
1470-7853,22819,International Journal of Market Research,2002,20,"Economics, Econometrics and Finance",Social Sciences
1470-7853,22819,International Journal of Market Research,1403,14,"Business, Management and Accounting",Social Sciences
1471-082X,144935,Statistical Modelling,1804,18,Decision Sciences,Social Sciences
1471-082X,144935,Statistical Modelling,2613,26,Mathematics,Physical Sciences
1471-3012,15300154806,Dementia,3300,33,Social Sciences,Social Sciences
1471-3012,15300154806,Dementia,3312,33,Social Sciences,Social Sciences
1471-3012,15300154806,Dementia,2700,27,Medicine,Health Sciences
1473-0952,4400151522,Planning Theory,3305,33,Social Sciences,Social Sciences
1473-2254,5700164344,Youth Justice,3308,33,Social Sciences,Social Sciences
1473-2254,5700164344,Youth Justice,3204,32,Psychology,Social Sciences
1473-3250,5700163050,Qualitative Social Work,3301,33,Social Sciences,Social Sciences
1473-3250,5700163050,Qualitative Social Work,3306,33,Social Sciences,Social Sciences
1473-6691,130175,Journal of the ICRU,2741,27,Medicine,Health Sciences
1473-6691,130175,Journal of the ICRU,3108,31,Physics and Astronomy,Physical Sciences
1473-6691,130175,Journal of the ICRU,1304,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1473-8716,4700151613,Information Visualization,1707,17,Computer Science,Physical Sciences
1474-0222,5800208186,Arts and Humanities in Higher Education,1213,12,Arts and Humanities,Social Sciences
1474-0222,5800208186,Arts and Humanities in Higher Education,3304,33,Social Sciences,Social Sciences
1474-4740,23552,Cultural Geographies,2301,23,Environmental Science,Physical Sciences
1474-4740,23552,Cultural Geographies,3316,33,Social Sciences,Social Sciences
1474-4740,23552,Cultural Geographies,3305,33,Social Sciences,Social Sciences
1474-8851,4100151709,European Journal of Political Theory,3320,33,Social Sciences,Social Sciences
1474-8851,4100151709,European Journal of Political Theory,3312,33,Social Sciences,Social Sciences
1474-9041,5700191217,European Educational Research Journal,3304,33,Social Sciences,Social Sciences
1475-2409,11300153313,Journal of Research in International Education,3304,33,Social Sciences,Social Sciences
1475-472X,19700201164,International Journal of Aeroacoustics,3102,31,Physics and Astronomy,Physical Sciences
1475-472X,19700201164,International Journal of Aeroacoustics,2202,22,Engineering,Physical Sciences
1475-7257,20500195402,Psychology Learning and Teaching,3200,32,Psychology,Social Sciences
1475-7257,20500195402,Psychology Learning and Teaching,3304,33,Social Sciences,Social Sciences
1475-9217,4700152204,Structural Health Monitoring,2210,22,Engineering,Physical Sciences
1475-9217,4700152204,Structural Health Monitoring,1304,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1476-1270,11800154593,Strategic Organization,1408,14,"Business, Management and Accounting",Social Sciences
1476-1270,11800154593,Strategic Organization,1410,14,"Business, Management and Accounting",Social Sciences
1476-1270,11800154593,Strategic Organization,3304,33,Social Sciences,Social Sciences
1476-1270,11800154593,Strategic Organization,1403,14,"Business, Management and Accounting",Social Sciences
1476-718X,5800207405,Journal of Early Childhood Research,3204,32,Psychology,Social Sciences
1476-718X,5800207405,Journal of Early Childhood Research,3304,33,Social Sciences,Social Sciences
1476-718X,5800207405,Journal of Early Childhood Research,3306,33,Social Sciences,Social Sciences
1476-7503,5700162125,Action Research,1407,14,"Business, Management and Accounting",Social Sciences
1476-7503,5700162125,Action Research,1408,14,"Business, Management and Accounting",Social Sciences
1476-7503,5700162125,Action Research,3312,33,Social Sciences,Social Sciences
1477-0938,52949,Lighting Research and Technology,2208,22,Engineering,Physical Sciences
1477-3708,5600157637,European Journal of Criminology,3308,33,Social Sciences,Social Sciences
1477-7606,14228,Progress in Rubber Plastics Recycling Technology,2505,25,Materials Science,Physical Sciences
1477-7606,14228,Progress in Rubber Plastics Recycling Technology,2507,25,Materials Science,Physical Sciences
1477-7606,14228,Progress in Rubber Plastics Recycling Technology,1605,16,Chemistry,Physical Sciences
1477-7606,14228,Progress in Rubber Plastics Recycling Technology,1500,15,Chemical Engineering,Physical Sciences
1477-8785,5700164234,Theory and Research in Education,3304,33,Social Sciences,Social Sciences
1477-9714,21100778091,Journal of Adult and Continuing Education,3304,33,Social Sciences,Social Sciences
1478-0771,19900192316,International Journal of Architectural Computing,1704,17,Computer Science,Physical Sciences
1478-0771,19900192316,International Journal of Architectural Computing,1706,17,Computer Science,Physical Sciences
1478-0771,19900192316,International Journal of Architectural Computing,2215,22,Engineering,Physical Sciences
1478-2103,18400156720,Policy Futures in Education,3304,33,Social Sciences,Social Sciences
1478-8047,5800208402,"Citizenship, Social and Economics Education",2000,20,"Economics, Econometrics and Finance",Social Sciences
1478-8047,5800208402,"Citizenship, Social and Economics Education",3312,33,Social Sciences,Social Sciences
1478-8047,5800208402,"Citizenship, Social and Economics Education",3304,33,Social Sciences,Social Sciences
1478-9299,4000149603,Political Studies Review,3320,33,Social Sciences,Social Sciences
1478-9299,4000149603,Political Studies Review,3312,33,Social Sciences,Social Sciences
1521-0251,4000151613,"Journal of College Student Retention: Research, Theory and Practice",3304,33,Social Sciences,Social Sciences
1522-6379,19600156844,Journalism & communication monographs,3315,33,Social Sciences,Social Sciences
1523-4223,16800154722,Advances in Developing Human Resources,1407,14,"Business, Management and Accounting",Social Sciences
1524-5004,25524,Social Marketing Quarterly,1406,14,"Business, Management and Accounting",Social Sciences
1524-5004,25524,Social Marketing Quarterly,2002,20,"Economics, Econometrics and Finance",Social Sciences
1524-8380,13124,"Trauma, Violence and Abuse",2739,27,Medicine,Health Sciences
1524-8380,13124,"Trauma, Violence and Abuse",3202,32,Psychology,Social Sciences
1524-8380,13124,"Trauma, Violence and Abuse",3306,33,Social Sciences,Social Sciences
1524-8399,21317,Health Promotion Practice,2901,29,Nursing,Health Sciences
1524-8399,21317,Health Promotion Practice,2739,27,Medicine,Health Sciences
1525-7401,5800207714,Communication Disorders Quarterly,3616,36,Health Professions,Health Sciences
1525-7401,5800207714,Communication Disorders Quarterly,3310,33,Social Sciences,Social Sciences
1525-822X,5600155075,Field Methods,3314,33,Social Sciences,Social Sciences
1526-9248,110173,Progress in Transplantation,2747,27,Medicine,Health Sciences
1527-0025,11800154592,Journal of Sports Economics,2001,20,"Economics, Econometrics and Finance",Social Sciences
1527-1544,3700148010,"Policy, Politics, and Nursing Practice",2700,27,Medicine,Health Sciences
1527-1544,3700148010,"Policy, Politics, and Nursing Practice",2910,29,Nursing,Health Sciences
1527-1544,3700148010,"Policy, Politics, and Nursing Practice",2911,29,Nursing,Health Sciences
1527-4764,5600155256,Television and New Media,1213,12,Arts and Humanities,Social Sciences
