values,ind
2303-4858,GOLD OA
1734-4492,GOLD OA
1224-8703,GOLD OA
1583-2430,GOLD OA
1330-061X,GOLD OA
0001-8325,GOLD OA
1799-3350,GOLD OA
2454-034X,GOLD OA
0721-9067,GOLD OA
1736-6518,GOLD OA
1891-1803,GOLD OA
1891-5469,GOLD OA
1407-981X,GOLD OA
1804-6746,GOLD OA
2336-3193,GOLD OA
2392-7054,GOLD OA
1805-3580,GOLD OA
0231-5742,GOLD OA
1801-3422,GOLD OA
1335-8243,GOLD OA
1335-2563,GOLD OA
1339-4045,GOLD OA
0351-2851,GOLD OA
2069-7449,GOLD OA
1453-1968,GOLD OA
1224-1784,GOLD OA
1844-9689,GOLD OA
1584-2339,GOLD OA
2286-2668,GOLD OA
1844-1076,GOLD OA
1842-4120,GOLD OA
2065-0574,GOLD OA
0334-1860,GOLD OA
1445-7377,GOLD OA
1215-1610,GOLD OA
2214-8515,GOLD OA
2666-3066,GOLD OA
1083-3668,GOLD OA
2329-423X,GOLD OA
0079-4252,GOLD OA
0022-300X,GOLD OA
1733-1331,GOLD OA
1178-8690,GOLD OA
1899-0142,GOLD OA
1032-335X,GOLD OA
1178-5608,GOLD OA
2245-8875,GOLD OA
0226-1766,GOLD OA
1449-3764,GOLD OA
2206-5369,GOLD OA
2470-8038,GOLD OA
2652-3647,GOLD OA
0391-9005,GOLD OA
2352-6475,GOLD OA
2214-1677,GOLD OA
2155-384X,GOLD OA
2326-3253,GOLD OA
1783-3914,GOLD OA
2690-2702,GOLD OA
2691-3895,GOLD OA
2691-171X,GOLD OA
2641-7650,GOLD OA
2471-254X,GOLD OA
2211-1247,GOLD OA
2162-2531,GOLD OA
2329-0501,GOLD OA
2589-0042,GOLD OA
2156-7085,GOLD OA
1094-4087,GOLD OA
2159-3930,GOLD OA
2334-2536,GOLD OA
2578-7519,GOLD OA
1094-2912,GOLD OA
1532-4435,GOLD OA
0334-6455,GOLD OA
1933-6918,GOLD OA
1942-0862,GOLD OA
1933-6896,GOLD OA
2162-4011,GOLD OA
1949-0976,GOLD OA
2159-2527,GOLD OA
1555-7561,GOLD OA
1069-1898,GOLD OA
1542-7390,GOLD OA
2328-4277,GOLD OA
2333-5084,GOLD OA
2472-1972,GOLD OA
2373-2873,GOLD OA
0033-2615,GOLD OA
2638-616X,GOLD OA
2644-125X,GOLD OA
2471-9625,GOLD OA
1539-1663,GOLD OA
1523-0430,GOLD OA
1043-2256,GOLD OA
1940-3372,GOLD OA
2578-4854,GOLD OA
1529-1227,GOLD OA
2168-0450,GOLD OA
2000-8023,GOLD OA
2000-8686,GOLD OA
1654-661X,GOLD OA
1748-2976,GOLD OA
2300-0147,GOLD OA
2083-2567,GOLD OA
2300-391X,GOLD OA
1233-2224,GOLD OA
0239-4278,GOLD OA
2300-0422,GOLD OA
2544-5502,GOLD OA
0209-3472,GOLD OA
1233-2356,GOLD OA
2083-2214,GOLD OA
2081-545X,GOLD OA
2084-8404,GOLD OA
1732-1948,GOLD OA
1689-7404,GOLD OA
1230-3666,GOLD OA
0032-5449,GOLD OA
1231-4005,GOLD OA
2255-8691,GOLD OA
2299-0461,GOLD OA
2084-1965,GOLD OA
2719-3454,GOLD OA
2084-3356,GOLD OA
2658-0845,GOLD OA
2449-8920,GOLD OA
0011-4561,GOLD OA
2038-0909,GOLD OA
2353-5156,GOLD OA
1822-6760,GOLD OA
2397-8325,GOLD OA
2235-042X,GOLD OA
1662-6567,GOLD OA
1011-7571,GOLD OA
1662-4025,GOLD OA
1662-0631,GOLD OA
1660-3796,GOLD OA
1662-6575,GOLD OA
1420-4096,GOLD OA
1662-811X,GOLD OA
1662-680X,GOLD OA
0300-5526,GOLD OA
1663-2699,GOLD OA
1664-5456,GOLD OA
1664-5553,GOLD OA
1664-5464,GOLD OA
2387-1954,GOLD OA
2504-5288,GOLD OA
2296-9365,GOLD OA
2504-3145,GOLD OA
2296-6870,GOLD OA
2504-110X,GOLD OA
2504-3889,GOLD OA
2296-9357,GOLD OA
2296-3774,GOLD OA
2571-726X,GOLD OA
2296-9705,GOLD OA
2673-1738,GOLD OA
2504-3161,GOLD OA
0905-9180,GOLD OA
2312-0541,GOLD OA
2519-1187,GOLD OA
0251-7493,GOLD OA
0035-9211,GOLD OA
2183-2439,GOLD OA
2183-2803,GOLD OA
2183-2463,GOLD OA
2183-7635,GOLD OA
1383-4517,GOLD OA
0025-7974,GOLD OA
2169-7574,GOLD OA
2373-8731,GOLD OA
2332-7812,GOLD OA
2574-2167,GOLD OA
2474-7661,GOLD OA
2472-7245,GOLD OA
2639-8028,GOLD OA
2572-9241,GOLD OA
2471-2531,GOLD OA
2474-7882,GOLD OA
2691-3593,GOLD OA
0976-3155,GOLD OA
0971-5851,GOLD OA
0970-2016,GOLD OA
0970-0358,GOLD OA
2347-5625,GOLD OA
2278-330X,GOLD OA
2348-0548,GOLD OA
0976-5042,GOLD OA
2231-0770,GOLD OA
1450-1147,GOLD OA
1947-489X,GOLD OA
2454-6798,GOLD OA
2772-7653,GOLD OA
0974-2727,GOLD OA
