values,ind
0893-8849,GOLD OA
1350-4827,GOLD OA
1546-6086,GOLD OA
1530-261X,GOLD OA
1582-1838,GOLD OA
1618-0240,GOLD OA
1757-7853,GOLD OA
0800-0395,GOLD OA
2051-817X,GOLD OA
0280-6495,GOLD OA
1740-8695,GOLD OA
0906-7590,GOLD OA
1942-2466,GOLD OA
2198-3844,GOLD OA
2048-3694,GOLD OA
2162-3279,GOLD OA
2052-1707,GOLD OA
2051-3380,GOLD OA
2048-7177,GOLD OA
2575-5609,GOLD OA
2049-1573,GOLD OA
2053-1095,GOLD OA
2521-3555,GOLD OA
1751-231X,GOLD OA
1477-8920,GOLD OA
1606-9749,GOLD OA
1366-7017,GOLD OA
2617-4782,GOLD OA
1836-0416,GOLD OA
1514-0326,GOLD OA
1177-083X,GOLD OA
1758-4302,GOLD OA
1976-8354,GOLD OA
1071-7544,GOLD OA
1616-8666,GOLD OA
1009-5020,GOLD OA
1406-099X,GOLD OA
0270-5060,GOLD OA
1385-772X,GOLD OA
1751-7192,GOLD OA
1933-6950,GOLD OA
0954-0105,GOLD OA
1229-8093,GOLD OA
0891-060X,GOLD OA
1819-6357,GOLD OA
1351-0002,GOLD OA
1358-314X,GOLD OA
1949-1042,GOLD OA
2000-5121,GOLD OA
1310-2818,GOLD OA
1553-8621,GOLD OA
1938-1980,GOLD OA
1947-5705,GOLD OA
1947-5411,GOLD OA
1559-9612,GOLD OA
2000-625X,GOLD OA
1654-9880,GOLD OA
1381-4788,GOLD OA
0968-8080,GOLD OA
1331-677X,GOLD OA
1388-0209,GOLD OA
0281-3432,GOLD OA
1346-7581,GOLD OA
2000-2297,GOLD OA
0954-2299,GOLD OA
1387-3954,GOLD OA
0005-1144,GOLD OA
1475-6366,GOLD OA
0886-022X,GOLD OA
1942-0889,GOLD OA
1654-6369,GOLD OA
1087-2981,GOLD OA
0280-6509,GOLD OA
1943-815X,GOLD OA
1994-2060,GOLD OA
1745-8080,GOLD OA
0265-6736,GOLD OA
0300-9734,GOLD OA
2150-1203,GOLD OA
1745-3674,GOLD OA
1947-6337,GOLD OA
1742-9145,GOLD OA
0985-3111,GOLD OA
2151-3732,GOLD OA
2000-4214,GOLD OA
1594-4077,GOLD OA
0971-2119,GOLD OA
1343-943X,GOLD OA
1468-6996,GOLD OA
1751-3758,GOLD OA
1239-9736,GOLD OA
1748-2623,GOLD OA
0165-2176,GOLD OA
1744-5647,GOLD OA
2279-7254,GOLD OA
2150-5594,GOLD OA
2164-2583,GOLD OA
2000-8066,GOLD OA
2000-9011,GOLD OA
2331-1983,GOLD OA
1548-7733,GOLD OA
2331-1940,GOLD OA
1729-0376,GOLD OA
2002-0317,GOLD OA
2161-4083,GOLD OA
2001-8525,GOLD OA
2164-2850,GOLD OA
2000-9666,GOLD OA
2169-3277,GOLD OA
2326-5507,GOLD OA
2376-6808,GOLD OA
2312-0053,GOLD OA
1128-7462,GOLD OA
0259-0123,GOLD OA
2222-1751,GOLD OA
2329-9037,GOLD OA
1598-0316,GOLD OA
2380-2359,GOLD OA
2090-9977,GOLD OA
2187-0764,GOLD OA
1473-7507,GOLD OA
2331-186X,GOLD OA
2158-0715,GOLD OA
1687-4048,GOLD OA
1473-2971,GOLD OA
2233-5951,GOLD OA
0267-3843,GOLD OA
1607-0658,GOLD OA
2078-6190,GOLD OA
1110-1849,GOLD OA
2168-1376,GOLD OA
2166-3831,GOLD OA
1479-7860,GOLD OA
1756-848X,GOLD OA
2001-3078,GOLD OA
2331-1908,GOLD OA
2000-4508,GOLD OA
2074-2835,GOLD OA
2314-4599,GOLD OA
2386-3781,GOLD OA
2693-9169,GOLD OA
1882-4889,GOLD OA
2766-0400,GOLD OA
2767-8490,GOLD OA
2766-9645,GOLD OA
2765-8449,GOLD OA
2055-0332,GOLD OA
2333-7931,GOLD OA
2155-6660,GOLD OA
2000-7493,GOLD OA
2641-0397,GOLD OA
2372-3505,GOLD OA
2574-2558,GOLD OA
2333-5432,GOLD OA
2474-0527,GOLD OA
2574-254X,GOLD OA
2473-4306,GOLD OA
2001-7022,GOLD OA
2377-9497,GOLD OA
2165-5979,GOLD OA
2474-736X,GOLD OA
2166-5095,GOLD OA
2332-0885,GOLD OA
2641-5275,GOLD OA
2474-9508,GOLD OA
2373-7484,GOLD OA
2381-5639,GOLD OA
2572-3618,GOLD OA
2572-5084,GOLD OA
2375-3234,GOLD OA
2469-9322,GOLD OA
2639-5908,GOLD OA
2162-3945,GOLD OA
2169-7213,GOLD OA
2054-8923,GOLD OA
2475-0581,GOLD OA
2002-2727,GOLD OA
2001-8517,GOLD OA
2689-5307,GOLD OA
2332-8878,GOLD OA
2327-3747,GOLD OA
2688-4674,GOLD OA
2578-7616,GOLD OA
2639-5940,GOLD OA
2165-0020,GOLD OA
2052-3963,GOLD OA
2578-5826,GOLD OA
1750-0044,GOLD OA
1608-9677,GOLD OA
2475-1839,GOLD OA
2224-3534,GOLD OA
2055-0359,GOLD OA
2574-2442,GOLD OA
1940-4476,GOLD OA
2638-8081,GOLD OA
2328-8604,GOLD OA
2002-3294,GOLD OA
2377-2484,GOLD OA
2471-1411,GOLD OA
2576-5299,GOLD OA
2476-1028,GOLD OA
2574-5417,GOLD OA
2575-1654,GOLD OA
2331-1835,GOLD OA
2055-0316,GOLD OA
2055-0758,GOLD OA
2330-443X,GOLD OA
2574-1292,GOLD OA
1947-5691,GOLD OA
2002-1518,GOLD OA
2096-4129,GOLD OA
2374-6149,GOLD OA
1015-8782,GOLD OA
2001-6689,GOLD OA
2572-9861,GOLD OA
2220-1181,GOLD OA
2475-0263,GOLD OA
2001-0001,GOLD OA
1110-4929,GOLD OA
2376-2004,GOLD OA
2375-2696,GOLD OA
2041-6520,GOLD OA
2046-2069,GOLD OA
2633-0679,GOLD OA
2634-3606,GOLD OA
2516-0230,GOLD OA
2633-5409,GOLD OA
0006-2294,GOLD OA
1382-2373,GOLD OA
1566-5844,GOLD OA
1955-2629,GOLD OA
2214-1324,GOLD OA
1128-7209,GOLD OA
2468-5534,GOLD OA
2667-078X,GOLD OA
1817-7530,GOLD OA
0772-0793,GOLD OA
2589-7446,GOLD OA
2352-7072,GOLD OA
2588-879X,GOLD OA
2212-5884,GOLD OA
2590-2539,GOLD OA
2364-4583,GOLD OA
2666-0385,GOLD OA
1392-2343,GOLD OA
0859-9920,GOLD OA
2542-5099,GOLD OA
2364-2807,GOLD OA
2543-0122,GOLD OA
2452-3666,GOLD OA
2211-6249,GOLD OA
1750-2640,GOLD OA
1530-8669,GOLD OA
1759-7706,GOLD OA
1755-263X,GOLD OA
1341-9145,GOLD OA
1015-6305,GOLD OA
2044-0588,GOLD OA
1757-1693,GOLD OA
1364-3703,GOLD OA
0960-7722,GOLD OA
1942-5120,GOLD OA
1065-9471,GOLD OA
0160-9289,GOLD OA
1755-5930,GOLD OA
1755-5914,GOLD OA
0161-0457,GOLD OA
1474-9718,GOLD OA
1607-551X,GOLD OA
1445-5781,GOLD OA
1369-6513,GOLD OA
2157-6564,GOLD OA
2045-7758,GOLD OA
2047-9980,GOLD OA
2050-0904,GOLD OA
2050-2680,GOLD OA
2056-3485,GOLD OA
1831-4732,GOLD OA
2050-0505,GOLD OA
2045-7634,GOLD OA
2328-9503,GOLD OA
2324-9269,GOLD OA
2055-5822,GOLD OA
2050-4527,GOLD OA
0866-7144,GOLD OA
2055-2238,GOLD OA
2051-3895,GOLD OA
2189-6577,GOLD OA
2211-5463,GOLD OA
2578-3270,GOLD OA
2054-4049,GOLD OA
2573-9468,GOLD OA
2056-6646,GOLD OA
2699-9307,GOLD OA
2398-8835,GOLD OA
2688-268X,GOLD OA
2397-9070,GOLD OA
2692-4560,GOLD OA
2628-5452,GOLD OA
2643-8909,GOLD OA
2378-8038,GOLD OA
2372-8639,GOLD OA
2637-9368,GOLD OA
2380-6761,GOLD OA
2574-4593,GOLD OA
2690-442X,GOLD OA
2474-9842,GOLD OA
2574-2272,GOLD OA
2577-171X,GOLD OA
2567-3173,GOLD OA
2577-0470,GOLD OA
2642-3561,GOLD OA
2572-1143,GOLD OA
2699-9412,GOLD OA
2052-8817,GOLD OA
2057-4347,GOLD OA
2578-2703,GOLD OA
2617-1619,GOLD OA
2637-6989,GOLD OA
2473-4039,GOLD OA
2698-5977,GOLD OA
2639-6181,GOLD OA
2692-9384,GOLD OA
2628-9725,GOLD OA
2475-8876,GOLD OA
2567-3165,GOLD OA
2573-9832,GOLD OA
2688-819X,GOLD OA
2576-2095,GOLD OA
2692-4609,GOLD OA
2688-4011,GOLD OA
2637-4943,GOLD OA
2379-6146,GOLD OA
2572-2611,GOLD OA
2470-9239,GOLD OA
2056-3744,GOLD OA
2575-1220,GOLD OA
2643-8429,GOLD OA
2641-6573,GOLD OA
2574-173X,GOLD OA
2475-0328,GOLD OA
2475-4455,GOLD OA
2639-6696,GOLD OA
2045-8827,GOLD OA
1751-7915,GOLD OA
2054-1058,GOLD OA
2055-4877,GOLD OA
2689-5595,GOLD OA
2690-3857,GOLD OA
2688-8319,GOLD OA
2688-4526,GOLD OA
2688-4046,GOLD OA
2688-2663,GOLD OA
2575-8314,GOLD OA
2576-604X,GOLD OA
2692-4552,GOLD OA
2627-1850,GOLD OA
2637-3807,GOLD OA
2378-2242,GOLD OA
2475-5389,GOLD OA
2523-3548,GOLD OA
2475-0360,GOLD OA
2056-4538,GOLD OA
2573-5152,GOLD OA
2577-8196,GOLD OA
2398-7324,GOLD OA
2699-9293,GOLD OA
2049-6060,GOLD OA
2688-3740,GOLD OA
2688-1152,GOLD OA
2688-6146,GOLD OA
2640-4567,GOLD OA
2471-1403,GOLD OA
2689-9655,GOLD OA
2052-4986,GOLD OA
2692-4587,GOLD OA
2050-0068,GOLD OA
2575-6265,GOLD OA
2573-8348,GOLD OA
2578-5745,GOLD OA
2642-2514,GOLD OA
0867-1761,GOLD OA
1758-2652,GOLD OA
2519-139X,GOLD OA
2115-7251,GOLD OA
2105-0716,GOLD OA
1751-7311,GOLD OA
1319-562X,GOLD OA
1807-5932,GOLD OA
0969-9961,GOLD OA
1728-869X,GOLD OA
0212-6567,GOLD OA
1470-160X,GOLD OA
1413-8670,GOLD OA
1110-8665,GOLD OA
0366-3175,GOLD OA
1319-6103,GOLD OA
0965-2299,GOLD OA
1873-5061,GOLD OA
1989-1342,GOLD OA
0975-9476,GOLD OA
1697-2600,GOLD OA
0032-5791,GOLD OA
1053-8119,GOLD OA
1939-4551,GOLD OA
1350-4177,GOLD OA
1878-5352,GOLD OA
1574-7891,GOLD OA
1388-2481,GOLD OA
1878-0067,GOLD OA
1756-4646,GOLD OA
1347-8613,GOLD OA
1452-3981,GOLD OA
1672-0229,GOLD OA
0160-4120,GOLD OA
1876-0341,GOLD OA
2210-2612,GOLD OA
1665-2681,GOLD OA
1880-4276,GOLD OA
0011-393X,GOLD OA
1438-4221,GOLD OA
1684-1182,GOLD OA
1476-5586,GOLD OA
1876-4754,GOLD OA
2090-1224,GOLD OA
1136-1034,GOLD OA
1319-0164,GOLD OA
1201-9712,GOLD OA
1449-4035,GOLD OA
0142-9418,GOLD OA
0960-9776,GOLD OA
1930-0433,GOLD OA
0147-6513,GOLD OA
0038-0806,GOLD OA
0010-440X,GOLD OA
0020-6539,GOLD OA
0264-1275,GOLD OA
0034-3617,GOLD OA
0171-9335,GOLD OA
0753-3322,GOLD OA
0002-9459,GOLD OA
1018-3647,GOLD OA
1566-7367,GOLD OA
1936-5233,GOLD OA
0001-6918,GOLD OA
1878-9293,GOLD OA
2352-3409,GOLD OA
2352-7110,GOLD OA
2211-3207,GOLD OA
2095-3119,GOLD OA
2352-3964,GOLD OA
2211-419X,GOLD OA
2211-3355,GOLD OA
2050-1161,GOLD OA
2211-467X,GOLD OA
2352-5134,GOLD OA
2215-1532,GOLD OA
2214-5095,GOLD OA
2213-7165,GOLD OA
2468-4287,GOLD OA
2215-017X,GOLD OA
2212-8778,GOLD OA
2352-345X,GOLD OA
1319-1578,GOLD OA
2215-0986,GOLD OA
2213-5766,GOLD OA
2095-0349,GOLD OA
1674-6384,GOLD OA
1110-0168,GOLD OA
2352-3441,GOLD OA
0972-8600,GOLD OA
2351-9894,GOLD OA
2213-0489,GOLD OA
2211-3797,GOLD OA
2214-031X,GOLD OA
1110-9823,GOLD OA
2451-8654,GOLD OA
2213-6711,GOLD OA
2352-1791,GOLD OA
2212-0947,GOLD OA
2214-6237,GOLD OA
2352-8273,GOLD OA
2352-1872,GOLD OA
2468-2179,GOLD OA
0303-2434,GOLD OA
2213-2317,GOLD OA
2405-5808,GOLD OA
1029-3132,GOLD OA
2090-598X,GOLD OA
1674-2834,GOLD OA
2238-7854,GOLD OA
1026-9185,GOLD OA
2214-157X,GOLD OA
2468-0249,GOLD OA
2055-6640,GOLD OA
2352-5126,GOLD OA
2352-8478,GOLD OA
1658-3655,GOLD OA
2090-5068,GOLD OA
2213-2244,GOLD OA
2451-9936,GOLD OA
1687-8507,GOLD OA
2212-0963,GOLD OA
2211-7539,GOLD OA
2214-4420,GOLD OA
2468-2667,GOLD OA
2210-6006,GOLD OA
2212-1366,GOLD OA
2352-5789,GOLD OA
2214-4269,GOLD OA
2237-9363,GOLD OA
2212-6287,GOLD OA
2214-7500,GOLD OA
2213-0071,GOLD OA
2213-3984,GOLD OA
2090-4479,GOLD OA
2214-1804,GOLD OA
2212-9685,GOLD OA
1319-5166,GOLD OA
2095-1779,GOLD OA
2214-0271,GOLD OA
2052-2975,GOLD OA
2376-0605,GOLD OA
2352-3204,GOLD OA
2213-5979,GOLD OA
2468-2330,GOLD OA
2444-8834,GOLD OA
2451-9944,GOLD OA
2588-932X,GOLD OA
2215-0013,GOLD OA
2352-9148,GOLD OA
2352-6440,GOLD OA
2542-4548,GOLD OA
2405-8440,GOLD OA
2468-9122,GOLD OA
2405-6766,GOLD OA
2214-7160,GOLD OA
2372-7705,GOLD OA
2405-9595,GOLD OA
2214-5419,GOLD OA
2405-4283,GOLD OA
2405-8572,GOLD OA
2467-981X,GOLD OA
2542-5196,GOLD OA
2214-7519,GOLD OA
2214-1391,GOLD OA
2352-0477,GOLD OA
2468-0672,GOLD OA
2352-7285,GOLD OA
0377-4732,GOLD OA
2213-1582,GOLD OA
2352-2895,GOLD OA
2352-8737,GOLD OA
2589-5370,GOLD OA
2405-8807,GOLD OA
2405-6324,GOLD OA
2352-8729,GOLD OA
2468-5488,GOLD OA
2214-6628,GOLD OA
2214-0301,GOLD OA
2215-0390,GOLD OA
2352-5517,GOLD OA
2405-6731,GOLD OA
2452-073X,GOLD OA
2215-0161,GOLD OA
2214-9112,GOLD OA
2214-2509,GOLD OA
2451-943X,GOLD OA
2352-4847,GOLD OA
2352-3646,GOLD OA
2405-6502,GOLD OA
2352-8532,GOLD OA
2405-5794,GOLD OA
2352-9067,GOLD OA
2352-9520,GOLD OA
2352-7714,GOLD OA
2445-4249,GOLD OA
2405-6316,GOLD OA
2444-569X,GOLD OA
2405-6308,GOLD OA
2226-5856,GOLD OA
2212-3717,GOLD OA
2468-6441,GOLD OA
1575-1813,GOLD OA
2451-9596,GOLD OA
2214-5818,GOLD OA
2214-854X,GOLD OA
2352-5878,GOLD OA
2468-4481,GOLD OA
2666-9129,GOLD OA
2666-3791,GOLD OA
2666-3783,GOLD OA
2666-5247,GOLD OA
2666-6596,GOLD OA
2666-3740,GOLD OA
2666-822X,GOLD OA
2589-8116,GOLD OA
2666-9579,GOLD OA
2666-5212,GOLD OA
2666-4976,GOLD OA
2772-4271,GOLD OA
2666-5662,GOLD OA
2666-5158,GOLD OA
2589-8450,GOLD OA
2590-051X,GOLD OA
2666-2027,GOLD OA
2666-9501,GOLD OA
2589-9589,GOLD OA
2666-5182,GOLD OA
2666-0172,GOLD OA
2772-3747,GOLD OA
2667-114X,GOLD OA
2666-5603,GOLD OA
2667-1182,GOLD OA
2667-095X,GOLD OA
2666-6677,GOLD OA
2666-2787,GOLD OA
2666-8211,GOLD OA
2590-0617,GOLD OA
2666-5425,GOLD OA
1326-0200,GOLD OA
2666-3538,GOLD OA
2590-1745,GOLD OA
2667-0321,GOLD OA
2666-3546,GOLD OA
2590-0498,GOLD OA
2590-2571,GOLD OA
1056-6171,GOLD OA
2590-1613,GOLD OA
2667-2685,GOLD OA
2667-2375,GOLD OA
2667-0313,GOLD OA
2666-5220,GOLD OA
2666-5352,GOLD OA
2667-0224,GOLD OA
2666-0520,GOLD OA
2667-0410,GOLD OA
2666-9153,GOLD OA
2092-5212,GOLD OA
2666-1888,GOLD OA
2667-3215,GOLD OA
2666-8459,GOLD OA
2590-0986,GOLD OA
2096-7438,GOLD OA
2666-7207,GOLD OA
2666-920X,GOLD OA
2590-2504,GOLD OA
2589-7500,GOLD OA
2666-2485,GOLD OA
2666-8319,GOLD OA
1808-8686,GOLD OA
2666-7843,GOLD OA
2666-7908,GOLD OA
2666-7193,GOLD OA
2666-4593,GOLD OA
2666-657X,GOLD OA
2590-1974,GOLD OA
2666-5778,GOLD OA
2603-9249,GOLD OA
2590-1230,GOLD OA
2666-4410,GOLD OA
2590-1427,GOLD OA
2666-6219,GOLD OA
2590-1702,GOLD OA
2590-1621,GOLD OA
2590-0072,GOLD OA
2666-4984,GOLD OA
2095-8099,GOLD OA
2665-9638,GOLD OA
2667-0380,GOLD OA
2666-5492,GOLD OA
2666-9900,GOLD OA
2590-1249,GOLD OA
2666-0326,GOLD OA
2589-9155,GOLD OA
2666-142X,GOLD OA
2666-934X,GOLD OA
2666-5344,GOLD OA
2772-4166,GOLD OA
2666-3961,GOLD OA
2590-1397,GOLD OA
2772-3925,GOLD OA
2590-0064,GOLD OA
2665-9271,GOLD OA
2590-1575,GOLD OA
2665-928X,GOLD OA
2590-2911,GOLD OA
2772-3976,GOLD OA
2772-6541,GOLD OA
2590-0595,GOLD OA
2666-5018,GOLD OA
2590-0056,GOLD OA
2665-9107,GOLD OA
2666-027X,GOLD OA
2590-0889,GOLD OA
2666-6022,GOLD OA
2667-0062,GOLD OA
2666-5239,GOLD OA
2468-2942,GOLD OA
2666-3643,GOLD OA
2666-0490,GOLD OA
2590-1362,GOLD OA
2666-5557,GOLD OA
2590-0420,GOLD OA
1517-7580,GOLD OA
2590-1508,GOLD OA
2666-3597,GOLD OA
2667-3053,GOLD OA
2590-0307,GOLD OA
2667-0054,GOLD OA
2666-6936,GOLD OA
2666-6685,GOLD OA
2589-9090,GOLD OA
2666-1667,GOLD OA
2666-3287,GOLD OA
2666-2477,GOLD OA
2666-1683,GOLD OA
2590-1125,GOLD OA
2666-691X,GOLD OA
2666-6758,GOLD OA
2772-5286,GOLD OA
2666-0334,GOLD OA
2666-9161,GOLD OA
2666-6790,GOLD OA
2666-6383,GOLD OA
2666-0547,GOLD OA
2666-0539,GOLD OA
2667-064X,GOLD OA
2666-4690,GOLD OA
2153-3539,GOLD OA
2666-3309,GOLD OA
2666-7657,GOLD OA
2590-1982,GOLD OA
2666-2736,GOLD OA
2666-0865,GOLD OA
2666-9560,GOLD OA
2667-3967,GOLD OA
2451-9588,GOLD OA
2666-8335,GOLD OA
2666-5573,GOLD OA
2666-8181,GOLD OA
2666-9552,GOLD OA
2590-1370,GOLD OA
2667-3126,GOLD OA
2666-2779,GOLD OA
2374-2895,GOLD OA
2590-1591,GOLD OA
2475-0379,GOLD OA
2211-7156,GOLD OA
2667-1379,GOLD OA
2590-2601,GOLD OA
2590-1567,GOLD OA
2666-6227,GOLD OA
2667-0569,GOLD OA
2589-871X,GOLD OA
2590-0374,GOLD OA
2666-3503,GOLD OA
2666-5484,GOLD OA
2667-2545,GOLD OA
2666-5395,GOLD OA
2666-3899,GOLD OA
2590-0897,GOLD OA
2666-6065,GOLD OA
2185-5560,GOLD OA
2666-7568,GOLD OA
2666-1543,GOLD OA
2666-9145,GOLD OA
2666-352X,GOLD OA
2667-0267,GOLD OA
2666-2450,GOLD OA
2590-0552,GOLD OA
2666-9374,GOLD OA
2590-0285,GOLD OA
2589-9368,GOLD OA
2605-0730,GOLD OA
2667-2782,GOLD OA
2590-2520,GOLD OA
2667-193X,GOLD OA
2667-1743,GOLD OA
2666-9005,GOLD OA
2059-7029,GOLD OA
2666-769X,GOLD OA
2667-1026,GOLD OA
2590-3462,GOLD OA
2667-2421,GOLD OA
2589-9864,GOLD OA
2666-8289,GOLD OA
2590-2296,GOLD OA
2666-3864,GOLD OA
2666-5204,GOLD OA
2666-8270,GOLD OA
2666-9641,GOLD OA
2590-048X,GOLD OA
2666-7894,GOLD OA
2666-1020,GOLD OA
2667-1093,GOLD OA
2590-0935,GOLD OA
2589-9147,GOLD OA
2590-0544,GOLD OA
2665-9131,GOLD OA
2666-5174,GOLD OA
2666-3341,GOLD OA
2590-0536,GOLD OA
2666-6820,GOLD OA
2590-0188,GOLD OA
2666-2507,GOLD OA
2666-1446,GOLD OA
2590-0560,GOLD OA
2590-2075,GOLD OA
2666-4968,GOLD OA
2666-6235,GOLD OA
2665-9441,GOLD OA
2666-7762,GOLD OA
2589-790X,GOLD OA
2666-6391,GOLD OA
2666-1497,GOLD OA
2667-0089,GOLD OA
2665-945X,GOLD OA
2667-0968,GOLD OA
2667-0100,GOLD OA
2666-9919,GOLD OA
2665-9727,GOLD OA
2667-0992,GOLD OA
2589-5559,GOLD OA
2214-6245,GOLD OA
2667-3436,GOLD OA
2659-6636,GOLD OA
2590-1524,GOLD OA
2475-2991,GOLD OA
2666-9676,GOLD OA
2667-1476,GOLD OA
2666-688X,GOLD OA
2667-3940,GOLD OA
2590-1133,GOLD OA
2666-061X,GOLD OA
2666-1659,GOLD OA
2667-0259,GOLD OA
2666-9544,GOLD OA
2666-7924,GOLD OA
2590-2555,GOLD OA
2667-0119,GOLD OA
2667-1115,GOLD OA
2666-9110,GOLD OA
2667-0747,GOLD OA
2589-5141,GOLD OA
2667-100X,GOLD OA
2666-3880,GOLD OA
2590-2628,GOLD OA
2666-335X,GOLD OA
2666-5581,GOLD OA
2214-109X,GOLD OA
2049-0801,GOLD OA
2667-1603,GOLD OA
2666-7215,GOLD OA
2772-4220,GOLD OA
2667-3185,GOLD OA
2666-0164,GOLD OA
2590-1532,GOLD OA
2666-2612,GOLD OA
2665-9174,GOLD OA
2590-1710,GOLD OA
2590-0978,GOLD OA
2772-3755,GOLD OA
2667-2766,GOLD OA
2214-7829,GOLD OA
2666-8939,GOLD OA
2666-5468,GOLD OA
2666-5727,GOLD OA
2666-2620,GOLD OA
2590-1478,GOLD OA
2590-1516,GOLD OA
2666-6367,GOLD OA
1479-6708,GOLD OA
2045-1393,GOLD OA
1758-1966,GOLD OA
2045-0907,GOLD OA
2045-0885,GOLD OA
2045-0923,GOLD OA
1758-194X,GOLD OA
2045-0869,GOLD OA
2056-3299,GOLD OA
2399-5262,GOLD OA
2399-5270,GOLD OA
1758-1923,GOLD OA
2191-1363,GOLD OA
2707-0573,GOLD OA
2521-2915,GOLD OA
1409-7621,GOLD OA
2040-1116,GOLD OA
2521-1242,GOLD OA
2520-6311,GOLD OA
2520-6214,GOLD OA
1885-2564,GOLD OA
1937-4763,GOLD OA
0865-2090,DOAJ
2055-3390,DOAJ
1738-2122,DOAJ
1643-5877,DOAJ
0509-6669,DOAJ
2235-0640,DOAJ
2765-8511,DOAJ
2634-2499,DOAJ
2635-1692,DOAJ
1220-658X,DOAJ
2498-8707,DOAJ
2770-0208,DOAJ
2673-1665,DOAJ
2752-6356,DOAJ
2577-5421,DOAJ
2067-225X,DOAJ
2634-243X,DOAJ
2673-6136,DOAJ
2192-8304,DOAJ
1029-807X,DOAJ
2635-0173,DOAJ
2732-2688,DOAJ
2612-2138,DOAJ
2235-8668,DOAJ
2309-8287,DOAJ
2634-2596,DOAJ
1077-291X,DOAJ
2299-8535,DOAJ
2047-4954,DOAJ
2043-6386,DOAJ
2770-6710,DOAJ
2731-4243,DOAJ
2450-0402,DOAJ
2731-9229,DOAJ
2731-9814,DOAJ
2769-4127,DOAJ
2731-684X,DOAJ
2731-9245,DOAJ
2754-6993,DOAJ
2731-4251,DOAJ
2096-031X,DOAJ
2755-0761,DOAJ
2770-7571,DOAJ
2731-426X,DOAJ
2694-1899,DOAJ
2734-4754,DOAJ
2768-4520,DOAJ
2784-1391,DOAJ
2731-9237,DOAJ
2784-7497,DOAJ
2731-3395,DOAJ
2055-7159,DOAJ
1340-2838,DOAJ
1674-5507,DOAJ
1461-1457,DOAJ
1749-5016,DOAJ
2057-1577,DOAJ
2047-217X,DOAJ
2057-2107,DOAJ
2058-5543,DOAJ
2399-5300,DOAJ
2056-3426,DOAJ
1758-0463,DOAJ
2050-6201,DOAJ
2050-3911,DOAJ
2574-2531,DOAJ
2048-8505,DOAJ
1672-9145,DOAJ
0305-1048,DOAJ
1759-4685,DOAJ
0449-3060,DOAJ
1748-1317,DOAJ
1367-4803,DOAJ
1054-3139,DOAJ
2041-2851,DOAJ
1759-6653,DOAJ
0737-4038,DOAJ
2288-4300,DOAJ
2053-9711,DOAJ
2053-714X,DOAJ
2514-1775,DOAJ
2399-1399,DOAJ
1946-5319,DOAJ
2057-2093,DOAJ
2396-8923,DOAJ
2515-5091,DOAJ
2053-8855,DOAJ
2399-3529,DOAJ
2054-8397,DOAJ
2051-1434,DOAJ
2155-7470,DOAJ
2514-2119,DOAJ
2328-8957,DOAJ
2160-6056,DOAJ
2516-1571,DOAJ
2633-0873,DOAJ
2632-7899,DOAJ
2635-0041,DOAJ
2631-4428,DOAJ
2634-3916,DOAJ
2515-2084,DOAJ
2516-4236,DOAJ
2633-9048,DOAJ
2754-2483,DOAJ
2631-9268,DOAJ
1536-2442,DOAJ
2398-4945,DOAJ
2397-7000,DOAJ
2632-1823,DOAJ
2633-6960,DOAJ
2517-4843,DOAJ
2632-8674,DOAJ
2634-5293,DOAJ
2573-2102,DOAJ
2632-7376,DOAJ
2631-827X,DOAJ
2632-5012,DOAJ
2631-4797,DOAJ
2517-5025,DOAJ
2633-8823,DOAJ
2632-2498,DOAJ
2752-5082,DOAJ
2633-6693,DOAJ
2632-1297,DOAJ
2732-4303,DOAJ
2633-6685,DOAJ
2634-3797,DOAJ
2515-396X,DOAJ
2633-6979,DOAJ
2634-4068,DOAJ
2752-4191,DOAJ
2042-8812,DOAJ
2752-6542,DOAJ
2755-0230,DOAJ
2753-149X,DOAJ
1742-2132,DOAJ
1748-9326,DOAJ
1367-2630,DOAJ
2752-5724,DOAJ
2634-4505,DOAJ
2632-2153,DOAJ
2053-1591,DOAJ
2515-7647,DOAJ
2752-5295,DOAJ
2515-7639,DOAJ
2632-959X,DOAJ
2515-7655,DOAJ
2515-7620,DOAJ
2634-4386,DOAJ
2631-7990,DOAJ
2399-6528,DOAJ
2633-4356,DOAJ
2632-072X,DOAJ
2752-664X,DOAJ
2752-5309,DOAJ
1751-9632,DOAJ
1751-8725,DOAJ
1755-4535,DOAJ
1751-8806,DOAJ
1751-8709,DOAJ
1751-9659,DOAJ
1752-1416,DOAJ
1751-8601,DOAJ
1751-956X,DOAJ
1751-8768,DOAJ
1751-9675,DOAJ
1751-8849,DOAJ
1751-8644,DOAJ
1751-8628,DOAJ
1750-0443,DOAJ
1751-8822,DOAJ
1751-8687,DOAJ
0013-5194,DOAJ
1751-8660,DOAJ
1751-8784,DOAJ
1751-8741,DOAJ
2047-4938,DOAJ
2042-9738,DOAJ
2053-3713,DOAJ
2051-3305,DOAJ
2405-4518,DOAJ
2468-2322,DOAJ
1751-858X,DOAJ
2516-8398,DOAJ
2634-1581,DOAJ
2517-7567,DOAJ
2515-2947,DOAJ
2631-7680,DOAJ
2634-1573,DOAJ
2398-6182,DOAJ
2398-3396,DOAJ
2514-3255,DOAJ
2397-7264,DOAJ
2516-8401,DOAJ
2632-8925,DOAJ
2631-6315,DOAJ
0144-8463,DOAJ
