cr_year,issn_l,oa_all,n,prop
2018,0008-8749,6,145,0.041379310344827586
2018,0008-8846,5,185,0.02702702702702703
2018,0009-0352,4,105,0.0380952380952381
2018,0009-1383,2,78,0.02564102564102564
2018,0009-2509,36,629,0.057233704292527825
2018,0009-2541,26,399,0.06516290726817042
2018,0009-2614,6,894,0.006711409395973154
2018,0009-2797,3,298,0.010067114093959731
2018,0009-2819,2,30,0.06666666666666667
2018,0009-286X,10,732,0.01366120218579235
2018,0009-3084,4,105,0.0380952380952381
2018,0009-3157,1,48,0.020833333333333332
2018,0009-3920,15,183,0.08196721311475409
2018,0009-398X,18,82,0.21951219512195122
2018,0009-4056,1,80,0.0125
2018,0009-4722,2,188,0.010638297872340425
2018,0009-5893,13,222,0.05855855855855856
2018,0009-5915,8,29,0.27586206896551724
2018,0009-725X,3,65,0.046153846153846156
2018,0009-8558,3,60,0.05
2018,0009-8981,16,515,0.031067961165048542
2018,0009-9104,23,143,0.16083916083916083
2018,0009-9120,8,224,0.03571428571428571
2018,0009-9163,14,232,0.0603448275862069
2018,0009-921X,4,648,0.006172839506172839
2018,0009-9228,1,155,0.0064516129032258064
2018,0009-9236,61,309,0.19741100323624594
2018,0009-9260,3,365,0.00821917808219178
2018,0010-0277,19,232,0.08189655172413793
2018,0010-0285,4,32,0.125
2018,0010-0757,1,25,0.04
2018,0010-2180,9,467,0.019271948608137045
2018,0010-2202,2,193,0.010362694300518135
2018,0010-3616,27,206,0.13106796116504854
2018,0010-3640,3,51,0.058823529411764705
2018,0010-3802,4,66,0.06060606060606061
2018,0010-3853,7,144,0.04861111111111111
2018,0010-4140,1,59,0.01694915254237288
2018,0010-4175,2,65,0.03076923076923077
2018,0010-437X,1,99,0.010101010101010102
2018,0010-4485,2,87,0.022988505747126436
2018,0010-4620,1,138,0.007246376811594203
2018,0010-4655,19,241,0.07883817427385892
2018,0010-4825,6,307,0.019543973941368076
2018,0010-485X,10,106,0.09433962264150944
2018,0010-5422,1,89,0.011235955056179775
2018,0010-7824,43,331,0.1299093655589124
2018,0010-7999,18,104,0.17307692307692307
2018,0010-8545,5,240,0.020833333333333332
2018,0010-938X,17,503,0.033797216699801194
2018,0010-9452,40,300,0.13333333333333333
2018,0011-1384,3,27,0.1111111111111111
2018,0011-1619,1,42,0.023809523809523808
2018,0011-183X,54,245,0.22040816326530613
2018,0011-216X,1,110,0.00909090909090909
2018,0011-2240,6,607,0.009884678747940691
2018,0011-2275,2,124,0.016129032258064516
2018,0011-3069,2,45,0.044444444444444446
2018,0011-3921,1,59,0.01694915254237288
2018,0011-8532,1,64,0.015625
2018,0011-9059,3,487,0.006160164271047228
2018,0011-9164,10,416,0.02403846153846154
2018,0012-0456,1,19,0.05263157894736842
2018,0012-0472,5,573,0.008726003490401396
2018,0012-0936,2,23,0.08695652173913043
2018,0012-155X,17,80,0.2125
2018,0012-1592,5,61,0.08196721311475409
2018,0012-1606,36,241,0.14937759336099585
2018,0012-1622,19,362,0.052486187845303865
2018,0012-1630,2,114,0.017543859649122806
2018,0012-1649,5,268,0.018656716417910446
2018,0012-186X,111,260,0.4269230769230769
2018,0012-2823,1,154,0.006493506493506494
2018,0012-3692,14,1599,0.008755472170106316
2018,0012-3706,4,307,0.013029315960912053
2018,0012-4486,11,42,0.2619047619047619
2018,0012-6667,39,170,0.22941176470588234
2018,0012-821X,69,603,0.11442786069651742
2018,0012-8252,17,217,0.07834101382488479
2018,0012-9615,4,43,0.09302325581395349
2018,0012-9658,23,351,0.06552706552706553
2018,0013-0001,7,40,0.175
2018,0013-0095,2,32,0.0625
2018,0013-0117,1,163,0.006134969325153374
2018,0013-0133,10,83,0.12048192771084337
2018,0013-0249,1,57,0.017543859649122806
2018,0013-0427,1,31,0.03225806451612903
2018,0013-063X,6,18,0.3333333333333333
2018,0013-0915,1,103,0.009708737864077669
2018,0013-1857,8,302,0.026490066225165563
2018,0013-1881,1,28,0.03571428571428571
2018,0013-1911,5,96,0.052083333333333336
2018,0013-1954,16,70,0.22857142857142856
2018,0013-2004,2,54,0.037037037037037035
2018,0013-4651,582,1536,0.37890625
2018,0013-4686,28,2232,0.012544802867383513
2018,0013-5585,3,118,0.025423728813559324
2018,0013-7006,1,99,0.010101010101010102
2018,0013-7227,8,289,0.02768166089965398
2018,0013-726X,1,448,0.002232142857142857
2018,0013-7944,4,480,0.008333333333333333
2018,0013-7952,7,308,0.022727272727272728
2018,0013-8266,3,388,0.007731958762886598
2018,0013-838X,1,103,0.009708737864077669
2018,0013-8398,1,19,0.05263157894736842
2018,0013-8703,5,99,0.050505050505050504
2018,0013-8746,1,51,0.0196078431372549
2018,0013-9157,1,29,0.034482758620689655
2018,0013-9165,1,47,0.02127659574468085
2018,0013-9351,46,498,0.09236947791164658
2018,0013-936X,1,1698,5.889281507656066e-4
2018,0013-9580,38,265,0.14339622641509434
2018,0014-0139,3,93,0.03225806451612903
2018,0014-1844,7,37,0.1891891891891892
2018,0014-2336,13,230,0.05652173913043478
2018,0014-2921,6,129,0.046511627906976744
2018,0014-2972,15,144,0.10416666666666667
2018,0014-2980,27,265,0.1018867924528302
2018,0014-2999,19,558,0.034050179211469536
2018,0014-3057,5,555,0.009009009009009009
2018,0014-3065,6,40,0.15
